Timestamp,Weather,Time of Day,Mask White Ratio,Lane Quality Score,Lane Error,Processing Time (ms),Mode
1768275316524,Sunny,Day,0.048741319444444445,97.48263888888889,-35.0,430.84228500003974,manual
1768275316849,Sunny,Day,0.042578125,85.15625,-34.0,4.889604000027248,manual
1768275316883,Sunny,Day,0.04505208333333333,90.10416666666667,-20.0,5.363808000083736,manual
1768275316900,Sunny,Day,0.04487847222222222,89.75694444444444,-20.0,5.940831999964757,manual
1768275316932,Sunny,Day,0.0421875,84.375,-33.0,24.82749699993292,manual
1768275316965,Sunny,Day,0.050303819444444446,100.0,-19.0,26.950134000003345,manual
1768275316994,Sunny,Day,0.051432291666666664,100.0,-20.0,21.7115709999689,manual
1768275317024,Sunny,Day,0.05056423611111111,100.0,-19.0,26.14234200007104,manual
1768275317058,Sunny,Day,0.04665798611111111,93.31597222222223,-34.0,28.777381000054447,manual
1768275317087,Sunny,Day,0.04956597222222222,99.13194444444444,-21.0,20.06821099996614,manual
1768275317119,Sunny,Day,0.05238715277777778,100.0,-19.0,26.280937000024096,manual
1768275317152,Sunny,Day,0.0515625,100.0,-20.0,28.500730000018848,manual
1768275317184,Sunny,Day,0.04700520833333333,94.01041666666667,-33.0,27.127800000016578,manual
1768275317213,Sunny,Day,0.04934895833333333,98.69791666666666,-20.0,18.16134399996372,manual
1768275317244,Sunny,Day,0.052083333333333336,100.0,-2.0,26.867756000001464,manual
1768275317276,Sunny,Day,0.05572916666666667,100.0,-18.0,26.05524199998399,manual
1768275317307,Sunny,Day,0.05329861111111111,100.0,-3.0,26.930712000080348,manual
1768275317340,Sunny,Day,0.05021701388888889,100.0,-20.0,27.84262199998011,manual
1768275317372,Sunny,Day,0.05147569444444444,100.0,-20.0,26.7867480000632,manual
1768275317401,Sunny,Day,0.05394965277777778,100.0,-19.0,24.354239999979654,manual
1768275317434,Sunny,Day,0.05894097222222222,100.0,-3.0,27.670920999980808,manual
1768275317465,Sunny,Day,0.05325520833333333,100.0,-19.0,25.151051999955598,manual
1768275317495,Sunny,Day,0.051432291666666664,100.0,-19.0,24.778355999956148,manual
1768275317526,Sunny,Day,0.05525173611111111,100.0,-19.0,26.66133599996101,manual
1768275317558,Sunny,Day,0.05499131944444444,100.0,-19.0,26.99472299991612,manual
