Timestamp,Weather,Time of Day,Mask White Ratio,Lane Quality Score,Lane Error,Processing Time (ms),Mode
1767943565488,Sunny,Day,0.10199652777777778,100.0,-13.0,435.25657500003945,manual
1767943565823,Sunny,Day,0.10203993055555556,100.0,-13.0,5.087533000278199,manual
1767943565852,Sunny,Day,0.1017795138888889,100.0,-13.0,2.95037100022455,manual
1767943565865,Sunny,Day,0.10225694444444444,100.0,-13.0,7.720568999957322,manual
1767943565895,Sunny,Day,0.1017795138888889,100.0,-13.0,25.06368200010911,manual
1767943565927,Sunny,Day,0.10199652777777778,100.0,-13.0,27.185696000287862,manual
1767943565959,Sunny,Day,0.1017795138888889,100.0,-13.0,26.793563999945036,manual
1767943565990,Sunny,Day,0.10190972222222222,100.0,-13.0,25.547851999817794,manual
1767943566022,Sunny,Day,0.10203993055555556,100.0,-13.0,26.546135999979015,manual
1767943566053,Sunny,Day,0.10130208333333333,100.0,-13.0,26.225819000046613,manual
1767943566083,Sunny,Day,0.10182291666666667,100.0,-13.0,24.8382920003678,manual
1767943566114,Sunny,Day,0.1015625,100.0,-13.0,26.755433999824163,manual
1767943566146,Sunny,Day,0.10190972222222222,100.0,-13.0,27.014084000256844,manual
1767943566177,Sunny,Day,0.10164930555555556,100.0,-13.0,26.847711999835155,manual
1767943566209,Sunny,Day,0.1013454861111111,100.0,-13.0,26.76654500010045,manual
1767943566240,Sunny,Day,0.10143229166666666,100.0,-13.0,26.395709000098577,manual
1767943566271,Sunny,Day,0.1013454861111111,100.0,-13.0,26.764248999825213,manual
1767943566303,Sunny,Day,0.10099826388888888,100.0,-13.0,26.81956300011734,manual
1767943566335,Sunny,Day,0.10182291666666667,100.0,-13.0,27.516085999650386,manual
1767943566366,Sunny,Day,0.1015625,100.0,-13.0,26.795284999934665,manual
1767943566397,Sunny,Day,0.1015625,100.0,-13.0,26.554858000054082,manual
1767943566429,Sunny,Day,0.10164930555555556,100.0,-13.0,27.181380999991234,manual
1767943566460,Sunny,Day,0.10130208333333333,100.0,-13.0,26.772544999857928,manual
1767943566491,Sunny,Day,0.10138888888888889,100.0,-13.0,26.888193999639043,manual
1767943566522,Sunny,Day,0.10125868055555555,100.0,-13.0,26.839823000045726,manual
1767943566554,Sunny,Day,0.1017795138888889,100.0,-13.0,26.943045999814785,manual
1767943566585,Sunny,Day,0.10143229166666666,100.0,-13.0,26.832525999907375,manual
1767943566617,Sunny,Day,0.10130208333333333,100.0,-13.0,26.87763800031462,manual
1767943566648,Sunny,Day,0.10147569444444444,100.0,-13.0,27.21954700018614,manual
