Timestamp,Weather,Time of Day,Mask White Ratio,Lane Quality Score,Lane Error,Processing Time (ms),Mode
1767942118896,Sunny,Day,0.10095486111111111,100.0,4.0,431.4454100003786,manual
1767942119192,Sunny,Day,0.09986979166666667,100.0,4.0,3.1026250003378664,manual
1767942119212,Sunny,Day,0.09973958333333334,100.0,4.0,16.762194999955682,manual
1767942119243,Sunny,Day,0.10078125,100.0,4.0,3.446232999976928,manual
1767942119272,Sunny,Day,0.10060763888888889,100.0,4.0,19.052018000365933,manual
1767942119304,Sunny,Day,0.10056423611111111,100.0,4.0,22.190195999883144,manual
1767942119335,Sunny,Day,0.101171875,100.0,4.0,24.77476000012757,manual
1767942119365,Sunny,Day,0.1015625,100.0,3.0,26.388437999685266,manual
1767942119397,Sunny,Day,0.10130208333333333,100.0,3.0,27.070895999713684,manual
1767942119428,Sunny,Day,0.10112847222222222,100.0,3.0,26.527078000071924,manual
1767942119460,Sunny,Day,0.10143229166666666,100.0,3.0,23.653086999729567,manual
1767942119491,Sunny,Day,0.10151909722222222,100.0,3.0,26.702122999722633,manual
1767942119522,Sunny,Day,0.10190972222222222,100.0,3.0,26.271982000253047,manual
1767942119554,Sunny,Day,0.10108506944444444,100.0,3.0,26.88342700002977,manual
1767942119585,Sunny,Day,0.1013454861111111,100.0,3.0,26.71989999998914,manual
1767942119618,Sunny,Day,0.101171875,100.0,3.0,23.85785299975396,manual
1767942119649,Sunny,Day,0.10164930555555556,100.0,3.0,27.044491000197013,manual
1767942119679,Sunny,Day,0.10173611111111111,100.0,3.0,25.003504999858706,manual
1767942119712,Sunny,Day,0.10125868055555555,100.0,3.0,24.281623999740987,manual
1767942119743,Sunny,Day,0.10082465277777777,100.0,3.0,25.81249199965896,manual
1767942119773,Sunny,Day,0.101171875,100.0,3.0,26.39186399983373,manual
1767942119805,Sunny,Day,0.10073784722222222,100.0,3.0,26.873316000092018,manual
1767942119836,Sunny,Day,0.10121527777777778,100.0,3.0,26.837836999675346,manual
1767942119867,Sunny,Day,0.10099826388888888,100.0,3.0,26.827986000171222,manual
1767942119899,Sunny,Day,0.10143229166666666,100.0,3.0,27.36126800027705,manual
1767942119931,Sunny,Day,0.10104166666666667,100.0,3.0,26.433066000208782,manual
1767942119962,Sunny,Day,0.10099826388888888,100.0,3.0,26.559632000044076,manual
1767942119995,Sunny,Day,0.10095486111111111,100.0,3.0,28.712667000036163,manual
1767942120025,Sunny,Day,0.10095486111111111,100.0,3.0,25.416815999960818,manual
1767942120057,Sunny,Day,0.101171875,100.0,4.0,26.8590249997942,manual
1767942120089,Sunny,Day,0.1015625,100.0,3.0,25.407650000033755,manual
1767942120119,Sunny,Day,0.10069444444444445,100.0,3.0,25.102466000134882,manual
1767942120150,Sunny,Day,0.10078125,100.0,3.0,27.088232999631146,manual
1767942120181,Sunny,Day,0.10130208333333333,100.0,3.0,26.69444299999668,manual
1767942120213,Sunny,Day,0.1013454861111111,100.0,3.0,26.925075999770343,manual
1767942120244,Sunny,Day,0.10151909722222222,100.0,3.0,26.815360999989934,manual
1767942120276,Sunny,Day,0.10082465277777777,100.0,3.0,26.996090000011463,manual
1767942120308,Sunny,Day,0.10130208333333333,100.0,3.0,28.137427999809006,manual
1767942120339,Sunny,Day,0.10112847222222222,100.0,3.0,25.81538399999772,manual
1767942120370,Sunny,Day,0.10125868055555555,100.0,3.0,27.081993000138027,manual
1767942120404,Sunny,Day,0.10065104166666666,100.0,3.0,29.635558999871137,manual
1767942120434,Sunny,Day,0.10091145833333333,100.0,3.0,24.847037000199634,manual
1767942120466,Sunny,Day,0.10151909722222222,100.0,3.0,28.016027999910875,manual
1767942120496,Sunny,Day,0.10112847222222222,100.0,3.0,24.99197199995251,manual
1767942120529,Sunny,Day,0.10095486111111111,100.0,3.0,28.948378000222874,manual
1767942120559,Sunny,Day,0.10078125,100.0,3.0,25.599639000120078,manual
1767942120590,Sunny,Day,0.10125868055555555,100.0,3.0,25.007340999763983,manual
1767942120624,Sunny,Day,0.10108506944444444,100.0,3.0,29.72162700007175,manual
1767942120654,Sunny,Day,0.10099826388888888,100.0,3.0,23.79963700013832,manual
1767942120684,Sunny,Day,0.10052083333333334,100.0,3.0,25.387817999671825,manual
1767942120716,Sunny,Day,0.10130208333333333,100.0,3.0,27.580443000260857,manual
1767942120747,Sunny,Day,0.10099826388888888,100.0,3.0,26.47427100009736,manual
1767942120778,Sunny,Day,0.10086805555555556,100.0,3.0,26.46097499973621,manual
1767942120812,Sunny,Day,0.10095486111111111,100.0,3.0,26.705422999839357,manual
1767942120841,Sunny,Day,0.10086805555555556,100.0,3.0,24.148617000264494,manual
1767942120874,Sunny,Day,0.10082465277777777,100.0,3.0,27.6048499999888,manual
1767942120904,Sunny,Day,0.10121527777777778,100.0,3.0,25.312821999705193,manual
1767942120935,Sunny,Day,0.10078125,100.0,3.0,26.68844200024978,manual
1767942120967,Sunny,Day,0.10125868055555555,100.0,3.0,27.17130199971507,manual
1767942120998,Sunny,Day,0.10108506944444444,100.0,3.0,20.738101999995706,manual
1767942121029,Sunny,Day,0.10164930555555556,100.0,3.0,26.003506000051857,manual
1767942121063,Sunny,Day,0.10130208333333333,100.0,3.0,29.16068400008953,manual
1767942121092,Sunny,Day,0.101171875,100.0,3.0,22.984524000094098,manual
1767942121124,Sunny,Day,0.10147569444444444,100.0,3.0,23.509678000209533,manual
1767942121156,Sunny,Day,0.1013454861111111,100.0,3.0,25.576606999948126,manual
1767942121187,Sunny,Day,0.10143229166666666,100.0,3.0,19.30258100037463,manual
1767942121219,Sunny,Day,0.10086805555555556,100.0,3.0,27.035037000132434,manual
1767942121250,Sunny,Day,0.10143229166666666,100.0,3.0,25.681304000045202,manual
1767942121283,Sunny,Day,0.1013454861111111,100.0,3.0,28.16850399995019,manual
1767942121312,Sunny,Day,0.10112847222222222,100.0,3.0,25.03101100001004,manual
1767942121344,Sunny,Day,0.10095486111111111,100.0,3.0,26.27061999965008,manual
1767942121375,Sunny,Day,0.10086805555555556,100.0,3.0,25.485538999873825,manual
1767942121408,Sunny,Day,0.10091145833333333,100.0,3.0,28.985268999804248,manual
1767942121438,Sunny,Day,0.10130208333333333,100.0,3.0,24.619406000056188,manual
1767942121469,Sunny,Day,0.10078125,100.0,3.0,26.5464920003069,manual
1767942121500,Sunny,Day,0.10082465277777777,100.0,3.0,26.775830000133283,manual
1767942121534,Sunny,Day,0.10047743055555555,100.0,3.0,28.602644000329747,manual
1767942121565,Sunny,Day,0.10091145833333333,100.0,3.0,26.187366000158363,manual
1767942121595,Sunny,Day,0.10086805555555556,100.0,3.0,25.4969450002136,manual
1767942121627,Sunny,Day,0.10082465277777777,100.0,3.0,27.28239099997154,manual
1767942121660,Sunny,Day,0.10086805555555556,100.0,4.0,26.33981999997559,manual
1767942121691,Sunny,Day,0.10095486111111111,100.0,3.0,23.66359300003751,manual
1767942121722,Sunny,Day,0.10091145833333333,100.0,3.0,26.53197400013596,manual
1767942121753,Sunny,Day,0.10091145833333333,100.0,3.0,19.50158800036661,manual
1767942121783,Sunny,Day,0.10047743055555555,100.0,3.0,25.463761999617418,manual
1767942121814,Sunny,Day,0.10052083333333334,100.0,3.0,26.759201000004396,manual
1767942121846,Sunny,Day,0.10021701388888889,100.0,3.0,26.666761999877053,manual
1767942121878,Sunny,Day,0.10065104166666666,100.0,3.0,25.354842000069766,manual
1767942121908,Sunny,Day,0.10078125,100.0,3.0,25.76694699973814,manual
1767942121942,Sunny,Day,0.10104166666666667,100.0,3.0,28.919403000145394,manual
1767942121974,Sunny,Day,0.10112847222222222,100.0,3.0,23.93994800013388,manual
1767942122003,Sunny,Day,0.10078125,100.0,3.0,15.330898000229354,manual
1767942122035,Sunny,Day,0.10060763888888889,100.0,3.0,27.150589000029868,manual
1767942122065,Sunny,Day,0.10069444444444445,100.0,3.0,26.34067500002857,manual
1767942122100,Sunny,Day,0.10069444444444445,100.0,3.0,28.792933000204357,manual
1767942122128,Sunny,Day,0.10078125,100.0,3.0,24.078591000034066,manual
1767942122160,Sunny,Day,0.10034722222222223,100.0,3.0,26.854291999825364,manual
1767942122191,Sunny,Day,0.10026041666666667,100.0,4.0,26.129909999781376,manual
1767942122222,Sunny,Day,0.10056423611111111,100.0,3.0,26.22140399989803,manual
1767942122255,Sunny,Day,0.10052083333333334,100.0,3.0,28.422881000096822,manual
1767942122288,Sunny,Day,0.100390625,100.0,3.0,27.58265400007076,manual
1767942122321,Sunny,Day,0.10004340277777778,100.0,4.0,28.165767000245978,manual
1767942122351,Sunny,Day,0.10073784722222222,100.0,3.0,24.693329999990965,manual
1767942122382,Sunny,Day,0.10060763888888889,100.0,3.0,25.454320999870106,manual
1767942122413,Sunny,Day,0.10065104166666666,100.0,3.0,26.170240999817906,manual
1767942122444,Sunny,Day,0.10078125,100.0,3.0,25.845612000011897,manual
1767942122477,Sunny,Day,0.10082465277777777,100.0,3.0,27.10631399986596,manual
1767942122509,Sunny,Day,0.10052083333333334,100.0,3.0,27.007189999949333,manual
