Timestamp,Weather,Time of Day,Mask White Ratio,Lane Quality Score,Lane Error,Processing Time (ms),Mode
1768181062217,Sunny,Day,0.08107638888888889,100.0,-70.0,431.28830300020127,manual
1768181062522,Sunny,Day,0.08055555555555556,100.0,-70.0,5.977055999665026,manual
1768181062533,Sunny,Day,0.07999131944444444,100.0,-70.0,4.451233000054344,manual
1768181062564,Sunny,Day,0.08025173611111111,100.0,-70.0,9.27960199987865,manual
1768181062593,Sunny,Day,0.0798611111111111,100.0,-70.0,14.07669399986844,manual
1768181062625,Sunny,Day,0.08059895833333333,100.0,-70.0,27.026812999793037,manual
1768181062658,Sunny,Day,0.08046875,100.0,-70.0,28.012023999963276,manual
1768181062687,Sunny,Day,0.07955729166666667,100.0,-70.0,23.96377900004154,manual
1768181062718,Sunny,Day,0.07803819444444444,100.0,-70.0,25.553098999807844,manual
1768181062750,Sunny,Day,0.0796875,100.0,-70.0,26.83137500025623,manual
1768181062782,Sunny,Day,0.08012152777777778,100.0,-70.0,28.09794700033308,manual
1768181062813,Sunny,Day,0.07877604166666667,100.0,-70.0,25.989326999933837,manual
1768181062844,Sunny,Day,0.08003472222222222,100.0,-70.0,27.065423999829363,manual
1768181062876,Sunny,Day,0.07808159722222222,100.0,-70.0,26.731712000128027,manual
1768181062907,Sunny,Day,0.07838541666666667,100.0,-70.0,26.977814000019862,manual
1768181062939,Sunny,Day,0.07960069444444444,100.0,-70.0,26.816671000233328,manual
1768181062970,Sunny,Day,0.07973090277777778,100.0,-70.0,25.22640600000159,manual
1768181063001,Sunny,Day,0.07907986111111111,100.0,-70.0,26.4411459997973,manual
1768181063033,Sunny,Day,0.07899305555555555,100.0,-70.0,26.259762999870873,manual
1768181063064,Sunny,Day,0.07886284722222223,100.0,-70.0,26.370390000010957,manual
1768181063095,Sunny,Day,0.07864583333333333,100.0,-70.0,26.867280999795184,manual
1768181063127,Sunny,Day,0.07951388888888888,100.0,-70.0,26.939317000142182,manual
1768181063158,Sunny,Day,0.07847222222222222,100.0,-70.0,26.49564500006818,manual
1768181063189,Sunny,Day,0.07921006944444445,100.0,-70.0,26.924075999886554,manual
1768181063221,Sunny,Day,0.07877604166666667,100.0,-70.0,22.357736000230943,manual
1768181063252,Sunny,Day,0.07821180555555556,100.0,-70.0,26.675361999878078,manual
1768181063283,Sunny,Day,0.07782118055555555,100.0,-70.0,26.86311499974181,manual
1768181063315,Sunny,Day,0.07899305555555555,100.0,-70.0,27.07736799993654,manual
1768181063346,Sunny,Day,0.0783420138888889,100.0,-70.0,26.919223999811948,manual
1768181063378,Sunny,Day,0.0796875,100.0,-70.0,26.875059999838413,manual
1768181063409,Sunny,Day,0.07838541666666667,100.0,-70.0,25.145779000013135,manual
1768181063442,Sunny,Day,0.07838541666666667,100.0,-70.0,28.49904599997899,manual
1768181063474,Sunny,Day,0.07890625,100.0,-70.0,20.11987899959422,manual
1768181063503,Sunny,Day,0.07899305555555555,100.0,-70.0,22.532119000061357,manual
1768181063536,Sunny,Day,0.07881944444444444,100.0,-70.0,28.55550700041931,manual
1768181063570,Sunny,Day,0.07868923611111112,100.0,-70.0,26.823154000339855,manual
1768181063597,Sunny,Day,0.07842881944444445,100.0,-70.0,22.235073000047123,manual
1768181063630,Sunny,Day,0.07955729166666667,100.0,-70.0,27.847769999880256,manual
1768181063663,Sunny,Day,0.07934027777777777,100.0,-70.0,28.37938299990128,manual
1768181063692,Sunny,Day,0.07855902777777778,100.0,-70.0,24.388561999785452,manual
1768181063728,Sunny,Day,0.07821180555555556,100.0,-70.0,31.533361000128934,manual
1768181063755,Sunny,Day,0.07829861111111111,100.0,-70.0,19.778186000166897,manual
1768181063786,Sunny,Day,0.07881944444444444,100.0,-70.0,26.738137999927858,manual
1768181063817,Sunny,Day,0.07864583333333333,100.0,-70.0,26.746082000045135,manual
1768181063849,Sunny,Day,0.078515625,100.0,-70.0,27.030962000026193,manual
1768181063880,Sunny,Day,0.07912326388888889,100.0,-70.0,26.87372599984883,manual
1768181063911,Sunny,Day,0.07912326388888889,100.0,-70.0,26.587863999793626,manual
1768181063943,Sunny,Day,0.07881944444444444,100.0,-70.0,26.608716000282584,manual
1768181063977,Sunny,Day,0.07816840277777778,100.0,-70.0,29.018530000030296,manual
1768181064006,Sunny,Day,0.07864583333333333,100.0,-70.0,22.615599000346265,manual
1768181064038,Sunny,Day,0.07894965277777778,100.0,-70.0,27.552891000141244,manual
1768181064069,Sunny,Day,0.07860243055555556,100.0,-70.0,26.438869000230625,manual
1768181064100,Sunny,Day,0.07877604166666667,100.0,-70.0,26.941539000290504,manual
1768181064131,Sunny,Day,0.07808159722222222,100.0,-70.0,26.80652499975622,manual
1768181064164,Sunny,Day,0.07873263888888889,100.0,-70.0,27.86667700001999,manual
1768181064195,Sunny,Day,0.07899305555555555,100.0,-70.0,26.183545000094455,manual
1768181064226,Sunny,Day,0.07847222222222222,100.0,-70.0,26.582697999856464,manual
1768181064258,Sunny,Day,0.07808159722222222,100.0,-70.0,27.600668000104633,manual
1768181064289,Sunny,Day,0.07829861111111111,100.0,-70.0,25.15015000017229,manual
1768181064320,Sunny,Day,0.07855902777777778,100.0,-70.0,26.480349999928876,manual
